2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[1299.HK] size: 1643 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][1299.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1583, 60, 26) and y=(1583, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [1299.HK] Fitted with 1643 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.093434, inverse=73.824145, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=0a4bae01 symbol=1299.HK pred=73.8241 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[1109.HK] size: 1589 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][1109.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1529, 60, 26) and y=(1529, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [1109.HK] Fitted with 1589 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.040793, inverse=32.346163, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=80bf0471 symbol=1109.HK pred=32.3462 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[2269.HK] size: 1655 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][2269.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1595, 60, 26) and y=(1595, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [2269.HK] Fitted with 1655 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.042032, inverse=33.322300, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=1d82f474 symbol=2269.HK pred=33.3223 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[2018.HK] size: 1422 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][2018.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1362, 60, 26) and y=(1362, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [2018.HK] Fitted with 1422 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.044677, inverse=35.406604, input_dim=26)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=62313a09 symbol=2018.HK pred=35.4066 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[0939.HK] size: 1650 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][0939.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1590, 60, 26) and y=(1590, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [0939.HK] Fitted with 1650 bars - OK
2026-04-15 09:01:18 | ModelManager | INFO | Prediction (scaled=0.019546, inverse=15.604986, input_dim=26)
